method,method_name,family,group,group_value,kind,records,claim_total,graded_total,V+,V-,U,N/A,v_pos_rate,v_neg_rate,u_rate,na_rate_all_claims
b4,B4/A1 single-snapshot,baseline_ablation,type_k,26,comparative,12,19,19,10,6,3,0,0.5263157894736842,0.3157894736842105,0.15789473684210525,0.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,26,numerical,30,136,136,126,0,10,0,0.9264705882352942,0.0,0.07352941176470588,0.0
a2,A2 PCTL only,ablation,type_k,1,categorical,18,48,48,13,3,32,0,0.2708333333333333,0.0625,0.6666666666666666,0.0
a2,A2 PCTL only,ablation,type_k,1,causal,6,7,0,0,0,0,7,,,,1.0
a2,A2 PCTL only,ablation,type_k,1,comparative,17,31,31,5,0,26,0,0.16129032258064516,0.0,0.8387096774193549,0.0
a2,A2 PCTL only,ablation,type_k,1,numerical,27,116,116,112,3,1,0,0.9655172413793104,0.02586206896551724,0.008620689655172414,0.0
a2,A2 PCTL only,ablation,type_k,2,categorical,29,58,58,6,5,47,0,0.10344827586206896,0.08620689655172414,0.8103448275862069,0.0
a2,A2 PCTL only,ablation,type_k,2,causal,2,2,0,0,0,0,2,,,,1.0
a2,A2 PCTL only,ablation,type_k,2,comparative,10,13,13,3,0,10,0,0.23076923076923078,0.0,0.7692307692307693,0.0
a2,A2 PCTL only,ablation,type_k,2,numerical,30,106,106,104,0,2,0,0.9811320754716981,0.0,0.018867924528301886,0.0
a2,A2 PCTL only,ablation,type_k,3,categorical,10,14,14,7,7,0,0,0.5,0.5,0.0,0.0
a2,A2 PCTL only,ablation,type_k,3,causal,14,24,0,0,0,0,24,,,,1.0
a2,A2 PCTL only,ablation,type_k,3,comparative,12,15,15,0,0,15,0,0.0,0.0,1.0,0.0
a2,A2 PCTL only,ablation,type_k,3,numerical,29,104,104,104,0,0,0,1.0,0.0,0.0,0.0
a2,A2 PCTL only,ablation,type_k,4,categorical,9,19,19,0,0,19,0,0.0,0.0,1.0,0.0
a2,A2 PCTL only,ablation,type_k,4,causal,9,18,0,0,0,0,18,,,,1.0
a2,A2 PCTL only,ablation,type_k,5,categorical,15,39,39,15,9,15,0,0.38461538461538464,0.23076923076923078,0.38461538461538464,0.0
a2,A2 PCTL only,ablation,type_k,5,causal,3,3,0,0,0,0,3,,,,1.0
a2,A2 PCTL only,ablation,type_k,5,comparative,2,2,2,1,1,0,0,0.5,0.5,0.0,0.0
a2,A2 PCTL only,ablation,type_k,5,numerical,29,99,99,98,0,1,0,0.98989898989899,0.0,0.010101010101010102,0.0
