method,method_name,family,query_id,type_k,scenario,status,claim_status,latency_sec,explanation_words,explanation_chars,input_words,input_chars,claim_count,numerical_claim_count,categorical_claim_count,comparative_claim_count,causal_claim_count,unique_numeric_values
ours,Full NS-XAI,main,Q1361,15,2,ok,ok,26.28,138,908,259,1658,5,3,0,1,1,3
ours,Full NS-XAI,main,Q1366,15,2,ok,ok,63.91,185,1126,204,1317,5,2,2,0,1,1
ours,Full NS-XAI,main,Q1621,15,2,ok,ok,24.23,196,1217,202,1311,5,5,0,0,0,5
ours,Full NS-XAI,main,Q1626,15,2,ok,ok,12.48,144,920,201,1296,8,8,0,0,0,8
ours,Full NS-XAI,main,Q1631,15,2,ok,ok,23.86,140,876,204,1313,6,6,0,0,0,6
ours,Full NS-XAI,main,Q1636,15,2,ok,ok,27.99,159,1016,203,1313,9,6,2,0,1,6
ours,Full NS-XAI,main,Q1641,15,2,ok,ok,16.23,158,1053,200,1294,8,8,0,0,0,7
ours,Full NS-XAI,main,Q1646,15,2,ok,ok,14.35,133,876,201,1301,6,6,0,0,0,6
ours,Full NS-XAI,main,Q1651,15,2,ok,ok,34.05,225,1383,201,1303,18,12,5,1,0,12
ours,Full NS-XAI,main,Q1656,15,2,ok,ok,38.64,219,1376,259,1662,10,10,0,0,0,10
ours,Full NS-XAI,main,Q1661,15,2,ok,ok,34.67,159,1017,259,1653,7,7,0,0,0,7
ours,Full NS-XAI,main,Q1666,15,2,ok,ok,44.59,153,980,203,1308,7,6,1,0,0,6
ours,Full NS-XAI,main,Q1231,26,2,ok,ok,57.48,215,1386,232,1453,9,7,0,1,1,6
ours,Full NS-XAI,main,Q1236,26,2,ok,ok,37.38,307,1952,232,1450,20,19,1,0,0,13
ours,Full NS-XAI,main,Q1241,26,2,ok,ok,29.77,233,1502,232,1449,12,11,0,1,0,11
ours,Full NS-XAI,main,Q1246,26,2,ok,ok,43.06,230,1469,231,1444,14,7,3,3,1,7
ours,Full NS-XAI,main,Q1251,26,2,ok,ok,50.41,315,1915,232,1456,15,15,0,0,0,13
ours,Full NS-XAI,main,Q1256,26,2,ok,ok,40.3,260,1585,233,1455,18,17,1,0,0,12
ours,Full NS-XAI,main,Q1261,26,2,ok,ok,37.98,273,1752,232,1449,21,19,2,0,0,15
ours,Full NS-XAI,main,Q1266,26,2,ok,ok,39.84,270,1726,231,1453,10,10,0,0,0,8
ours,Full NS-XAI,main,Q1691,26,2,ok,ok,23.54,162,1000,231,1425,7,7,0,0,0,6
ours,Full NS-XAI,main,Q1696,26,2,ok,ok,57.58,209,1393,230,1434,10,10,0,0,0,8
ours,Full NS-XAI,main,Q1401,1,0,ok,ok,44.9,218,1382,140,984,17,12,2,3,0,8
ours,Full NS-XAI,main,Q0421,4,0,ok,ok,14.39,146,886,39,328,5,5,0,0,0,2
ours,Full NS-XAI,main,Q0456,4,0,ok,ok,10.93,116,734,40,342,5,2,3,0,0,2
ours,Full NS-XAI,main,Q0356,3,1,ok,ok,12.23,169,1064,57,397,6,3,3,0,0,2
ours,Full NS-XAI,main,Q1411,3,1,ok,ok,35.41,202,1244,56,385,12,7,3,1,1,7
ours,Full NS-XAI,main,Q0261,2,2,ok,ok,38.02,170,1003,201,1258,6,5,1,0,0,5
ours,Full NS-XAI,main,Q0276,2,2,ok,ok,17.96,212,1267,202,1264,11,3,8,0,0,3
ours,Full NS-XAI,main,Q0296,2,2,ok,ok,24.11,202,1214,201,1257,9,7,2,0,0,6
